tag_id,name,category,count,right_tag_cn
9999999,general,9,1589178,普通
9999998,sensitive,9,3994361,敏感内容
9999997,questionable,9,892496,擦边球
9999996,explicit,9,706509,露骨内容
470575,1girl,0,5113288,1个女性
212816,solo,0,4253220,单独人物
13197,long_hair,0,3645082,长发
8601,breasts,0,2889545,乳房
469576,looking_at_viewer,0,2696730,看向阅图者
3389,blush,0,2496356,脸红
1815,smile,0,2365730,微笑|笑容
11906,open_mouth,0,1950469,张嘴的
15080,short_hair,0,1904624,短发
10959,blue_eyes,0,1490640,蓝眼睛
412368,simple_background,0,1420030,朴素的背景
12590,shirt,0,1382452,衬衫
403247,large_breasts,0,1333379,巨乳
429,skirt,0,1328225,短裙
87788,blonde_hair,0,1311581,金发
566835,multiple_girls,0,1309199,多个女孩
16867,brown_hair,0,1267072,棕色头发
13200,black_hair,0,1225953,黑发
383159,long_sleeves,0,1199349,长袖
380350,hair_ornament,0,1175185,发饰
515193,white_background,0,1161729,白色背景
540830,1boy,0,1129709,1个男性
5735,gloves,0,1113040,手套
8526,red_eyes,0,1081613,红眼睛
2241,dress,0,1046050,连衣裙
1882,thighhighs,0,1034635,含过膝袜和裤袜
2373,hat,0,1034610,帽子
375387,holding,0,1022399,拿着某物
4563,bow,0,984380,蝴蝶结
9294,navel,0,974528,肚脐
6126,animal_ears,0,950191,兽耳
464575,ribbon,0,937186,丝带|缎带
658573,hair_between_eyes,0,922798,延伸到两眼之间的刘海
572080,closed_mouth,0,876401,闭着的嘴
1821,2girls,0,860944,2个女性
4607,cleavage,0,848453,乳沟
16613,jewelry,0,829749,珠宝
376054,bare_shoulders,0,815753,露肩
417660,very_long_hair,0,783428,很长的头发
12289,sitting,0,782247,坐
1709,twintails,0,770972,双马尾
667868,medium_breasts,0,770389,普通罩杯的胸
16578,brown_eyes,0,747352,棕色的眼睛
15675,standing,0,733225,站立的
8889,nipples,0,717669,乳头
10960,green_eyes,0,711390,绿色的眼镜
464906,underwear,0,706352,内衣
10953,blue_hair,0,704952,蓝色头发
3843,jacket,0,700303,夹克
16509,school_uniform,0,688100,校服
15654,purple_eyes,0,669153,紫色的眼睛
466499,collarbone,0,655630,锁骨
15674,tail,0,634183,尾巴
376766,white_shirt,0,629056,白衬衫
608813,full_body,0,624413,全身|画出了全身
547463,upper_body,0,595301,上半身
391,panties,0,580171,内裤 | 短裤 | 裤袜
465619,closed_eyes,0,570045,闭上的眼睛
89189,yellow_eyes,0,565375,黄色的眼睛
444,swimsuit,0,564464,泳装
16581,white_hair,0,563701,白发
11429,pink_hair,0,551851,粉红色的头发
1681,monochrome,0,547787,单色画
16580,grey_hair,0,529760,灰色的头发 | 白发 | 银发
3522,ahoge,0,528662,呆毛
4334,braid,0,525679,三股辫
464561,hair_ribbon,0,525639,发绳
16442,purple_hair,0,524002,紫色头发
1300281,male_focus,0,516211,男性特写
2355,ponytail,0,514797,马尾
8101,ass,0,513666,屁股
464559,flower,0,512140,花
11449,weapon,0,506828,武器|兵器
390728,multicolored_hair,0,501249,多色的头发
472154,short_sleeves,0,499860,短袖
484168,sidelocks,0,484224,披在耳前的发绺
63,comic,0,474986,漫画
622137,hetero,0,472134,异性恋
2750,heart,0,467808,心 | 心形 | 爱心
3870,thighs,0,465668,大腿
384553,:d,0,464842,:d(大笑表情)
374844,hair_bow,0,455229,蝴蝶结发圈
2363,pantyhose,0,441476,连裤袜|裤袜
13879,outdoors,0,439693,户外|野战
660909,cowboy_shot,0,438408,七分身镜头
13804,earrings,0,434737,耳环
513837,greyscale,0,432002,纯黑白色|黑白照片化
6539,bikini,0,426322,比基尼
4569,sweat,0,425602,汗水
5403,red_hair,0,424264,红发
2365,nude,0,422321,裸体
383282,pleated_skirt,0,416655,百褶裙
465265,small_breasts,0,413326,贫乳|娇小的乳房
194013,frills,0,401738,花边
2376,hairband,0,397872,发箍
664375,parted_lips,0,396122,张开的嘴唇
4352,censored,0,388593,打码的
5827,boots,0,384723,长靴
375669,open_clothes,0,384414,敞开的衣服
301022,lying,0,380092,躺着的
2785,horns,0,374048,角|有角的
6054,teeth,0,370407,牙齿
568656,multiple_boys,0,367969,多个男孩
2866,wings,0,366146,翅膀
1575,food,0,362486,食物
384774,necktie,0,360748,领带
461042,one_eye_closed,0,359739,闭着一只眼
387884,detached_sleeves,0,358429,分离袖子
406,sky,0,357335,天空
4190,penis,0,346918,阴茎
3985,shorts,0,345909,短裤
8388,green_hair,0,345032,绿发
1707,japanese_clothes,0,344888,日式服装
8672,shoes,0,343802,鞋子
400314,sleeveless,0,341431,无袖
474820,black_gloves,0,331176,黑色手套
431446,alternate_costume,0,330775,角色换装
478849,collared_shirt,0,321941,翻领衬衫
4025,choker,0,320504,项圈
11826,barefoot,0,316857,裸足
4378,pussy,0,313579,小穴
1731,socks,0,309931,袜子
6532,glasses,0,309385,眼镜|眼镜娘
10863,tongue,0,309295,舌头
15522,pointy_ears,0,307225,妖精耳
931006,solo_focus,0,304477,以单独人物为焦点
10926,pants,0,303036,裤子
435324,day,0,294620,白天
1407561,virtual_youtuber,0,287601,虚拟Youtuber
268819,serafuku,0,285501,水手服
375171,indoors,0,281809,室内
581144,puffy_sleeves,0,281250,蓬蓬的袖子
657955,artist_name,0,280968,作者署名
2646,hairclip,0,280648,发夹
426781,medium_hair,0,273659,中等长发
9864,belt,0,271864,皮带|腰带
1793,fang,0,269175,虎牙
455880,black_thighhighs,0,266928,黑色过膝袜
539367,hand_up,0,265393,抬起手
10228,elbow_gloves,0,265300,长手套
9843,midriff,0,258987,腹部
410129,looking_back,0,245547,回眸
464549,cloud,0,244228,云
474821,white_gloves,0,242027,白手套
411263,signature,0,238587,签名
11628,bowtie,0,236148,领结
5948,hood,0,235850,兜帽
401228,sword,0,235273,剑
374628,black_skirt,0,233282,黑色短裙
71730,dark_skin,0,233165,褐色皮肤
449194,2boys,0,232894,2个男性
72,cat_ears,0,232052,猫耳
537684,blunt_bangs,0,230036,直刘海
400123,hair_flower,0,229731,头发上别着花
1515536,official_alternate_costume,0,225665,官方异色服装
502710,tongue_out,0,225097,吐舌头
2357,sex,0,224302,性交
16252,spread_legs,0,220686,张开腿 | M字张腿 | 桃色蹲姿|V字张腿
16750,pink_eyes,0,219657,粉红色的眼睛
389378,sailor_collar,0,218314,水手领
394970,wide_sleeves,0,217852,宽大的袖子
9168,miniskirt,0,216954,迷你裙
467104,stomach,0,216728,小腹
375020,fingerless_gloves,0,215557,无指手套
1842,cum,0,214632,精液
401481,on_back,0,214058,仰躺
6010,tears,0,212598,眼泪
659098,black_footwear,0,212435,黑色的鞋
632214,grey_background,0,211830,灰色背景
399836,3girls,0,210649,3个女性
5576,armpits,0,207204,腋下
1254363,twitter_username,0,204487,推特用户名
445,kimono,0,203282,和服
14620,white_dress,0,200841,白色连衣裙
670071,holding_weapon,0,199609,手持武器
375229,off_shoulder,0,198797,露肩式
4068,necklace,0,198325,项链
491647,striped_clothes,0,198065,条纹服装
454933,hair_bun,0,196126,发髻|团子头
102962,nail_polish,0,194099,指甲油
234192,from_behind,0,194007,背影
656624,star_(symbol),0,193728,星形(符号)
4019,mole,0,193676,痣
641577,looking_at_another,0,193341,看着另一个
1573,water,0,192003,水
399541,hair_over_one_eye,0,191524,头发遮住了一只眼睛
4333,bag,0,189775,包
465583,rabbit_ears,0,189631,兔耳
1747,chibi,0,189310,迷你角色
87676,orange_hair,0,188757,橙色头发
6107,blurry,0,186733,模糊的
384884,grin,0,184832,露齿笑
125238,sweatdrop,0,183914,汗珠
473983,clothes_lift,0,180831,掀起衣物
39127,black_dress,0,180427,黑色连衣裙
3198,scarf,0,180052,围巾
6346,cape,0,179107,披风
375002,white_thighhighs,0,177995,白色过膝袜
13199,black_eyes,0,177620,黑色眼睛
413564,two-tone_hair,0,177573,双色头发
590165,english_text,0,176369,英语
440465,speech_bubble,0,174933,对话框|会话气泡
719985,streaked_hair,0,174249,有其他颜色条纹的头发
3796,bra,0,174110,胸罩
261,yuri,0,173747,百合
4659,armor,0,173212,盔甲
393959,huge_breasts,0,172931,爆乳
6176,vest,0,172325,背心
379615,open_jacket,0,172212,敞开的夹克
4010,halo,0,171236,天使光环
511141,from_side,0,170900,角色的侧面
273,apron,0,170846,围裙
682673,mosaic_censoring,0,168821,打了马赛克
2060,feet,0,168107,脚
470807,red_bow,0,167752,红色蝴蝶结
475187,arm_up,0,167695,举着手
374791,white_panties,0,165931,白色内裤
6295,leotard,0,164592,紧身连身衣裤|芭蕾服
510962,character_name,0,164580,含角色名
5569,coat,0,164331,外套
547860,black_jacket,0,164106,黑色夹克
10484,vaginal,0,163514,阴道
9882,high_heels,0,163428,高跟鞋
14599,:o,0,161509,:o(惊讶表情)
4052,collar,0,157883,项圈
399827,arms_up,0,157778,举起手
3477,sweater,0,157546,毛衣
11904,bracelet,0,155007,手镯
490655,blue_sky,0,153281,蓝天
378032,flat_chest,0,153112,平胸|贫乳
52138,twin_braids,0,153036,两条辫子
